Feb 03, 2020  01:49:45 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


 44.90,   8.98E-010, 
 45.00,   1.49E-009, 
 45.10,   1.57E-009, 
 45.20,   1.50E-009, 
 45.30,   1.46E-009, 
 45.40,   1.33E-009, 
 45.50,   7.79E-010, 
 45.60,   6.25E-010, 
 45.70,   4.71E-010, 
 45.80,   3.94E-010, 
 45.90,   4.43E-010, 
 46.00,   5.08E-010, 
 46.10,   6.10E-010, 
 46.20,   5.97E-010, 
 46.30,   5.63E-010, 
 46.40,   5.30E-010, 
 46.50,   5.92E-010, 
 46.60,   4.12E-010, 
 46.70,   3.47E-010, 
 46.80,   4.00E-010, 
 46.90,   5.22E-010, 
 47.00,   7.03E-010, 
 47.10,   8.57E-010, 
 47.20,   9.54E-010, 
 47.30,   1.37E-009, 
 47.40,   8.91E-010, 
 47.50,   7.27E-010, 
 47.60,   4.58E-010, 
 47.70,   3.87E-010, 
 47.80,   3.58E-010, 
 47.90,   2.63E-010, 
 48.00,   2.37E-010, 
 48.10,   2.62E-010, 
 48.20,   2.21E-010, 
 48.30,   2.02E-010, 
 48.40,   2.20E-010, 
 48.50,   1.44E-010, 
 48.60,   1.33E-010, 
 48.70,   1.30E-010, 
 48.80,   1.44E-010, 
 48.90,   2.11E-010, 
 49.00,   2.28E-010, 
 49.10,   2.56E-010, 
 49.20,   2.90E-010, 
 49.30,   2.31E-010, 
 49.40,   1.86E-010, 
 49.50,   1.83E-010, 
 49.60,   2.09E-010, 
 49.70,   2.21E-010, 
 49.80,   2.84E-010, 
 49.90,   3.14E-010, 
 50.00,   2.99E-010, 
 50.10,   4.14E-010, 
 50.20,   4.78E-010, 
 50.30,   4.69E-010, 
 50.40,   5.58E-010, 
 50.50,   5.53E-010, 
 50.60,   4.59E-010, 
 50.70,   5.78E-010, 
 50.80,   1.20E-009, 
 50.90,   2.10E-009, 
 51.00,   2.96E-009, 
 51.10,   3.99E-009, 
 51.20,   4.57E-009, 
 51.30,   4.69E-009, 
 51.40,   4.55E-009, 
 51.50,   3.68E-009, 
 51.60,   2.27E-009, 
 51.70,   1.13E-009, 
 51.80,   6.80E-010, 
 51.90,   5.85E-010, 
 52.00,   5.95E-010, 
 52.10,   5.88E-010, 
 52.20,   6.11E-010, 
 52.30,   4.99E-010, 
 52.40,   3.84E-010, 
 52.50,   4.31E-010, 
 52.60,   4.35E-010, 
 52.70,   5.34E-010, 
 52.80,   4.63E-010, 
 52.90,   4.08E-010, 
 53.00,   4.99E-010, 
 53.10,   6.09E-010, 
 53.20,   5.59E-010, 
 53.30,   4.35E-010, 
 53.40,   4.17E-010, 
 53.50,   3.59E-010, 
 53.60,   2.63E-010, 
 53.70,   2.62E-010, 
 53.80,   1.81E-010, 
 53.90,   1.50E-010, 
 54.00,   1.62E-010, 
 54.10,   2.66E-010, 
 54.20,   2.88E-010, 
 54.30,   2.55E-010, 
 54.40,   3.90E-010, 
 54.50,   4.38E-010, 
 54.60,   4.82E-010, 
 54.70,   4.34E-010, 
 54.80,   4.98E-010, 
 54.90,   5.57E-010, 
 55.00,   7.16E-010, 
 55.10,   8.00E-010, 
 55.20,   9.21E-010, 
 55.30,   1.28E-009, 
 55.40,   1.36E-009, 
 55.50,   1.02E-009, 
 55.60,   6.45E-010, 
 55.70,   4.75E-010, 
 55.80,   3.74E-010, 
 55.90,   3.45E-010, 
 56.00,   4.23E-010, 
 56.10,   5.12E-010, 
 56.20,   6.22E-010, 
 56.30,   6.86E-010, 
 56.40,   7.00E-010, 
 56.50,   6.90E-010, 
 56.60,   4.83E-010, 
 56.70,   4.75E-010, 
 56.80,   5.01E-010, 
 56.90,   5.37E-010, 
 57.00,   7.42E-010, 
 57.10,   1.09E-009, 
 57.20,   1.54E-009, 
 57.30,   1.54E-009, 
 57.40,   1.45E-009, 
 57.50,   1.47E-009, 
 57.60,   1.05E-009, 
 57.70,   6.27E-010, 
 57.80,   5.66E-010, 
 57.90,   4.67E-010, 
 58.00,   3.56E-010, 
 58.10,   3.07E-010, 
 58.20,   3.70E-010, 
 58.30,   4.43E-010, 
 58.40,   4.24E-010, 
 58.50,   3.86E-010, 
 58.60,   2.95E-010, 
 58.70,   2.16E-010, 
 58.80,   1.73E-010, 
 58.90,   1.99E-010, 
 59.00,   3.27E-010, 
 59.10,   3.84E-010, 
 59.20,   3.35E-010, 
 59.30,   3.48E-010, 
 59.40,   3.69E-010, 
 59.50,   3.21E-010, 
 59.60,   3.79E-010, 
 59.70,   3.03E-010, 
 59.80,   2.82E-010, 
 59.90,   2.72E-010, 
 60.00,   3.00E-010, 
 60.10,   3.23E-010, 
 60.20,   4.16E-010, 
 60.30,   4.45E-010, 
 60.40,   4.52E-010, 
 60.50,   4.01E-010, 
 60.60,   3.80E-010, 
 60.70,   3.51E-010, 
 60.80,   3.00E-010, 
 60.90,   2.62E-010, 
 61.00,   3.26E-010, 
 61.10,   4.75E-010, 
 61.20,   4.15E-010, 
 61.30,   3.84E-010, 
 61.40,   2.57E-010, 
 61.50,   2.51E-010, 
 61.60,   2.37E-010, 
 61.70,   3.45E-010, 
 61.80,   4.66E-010, 
 61.90,   4.10E-010, 
 62.00,   3.58E-010, 
 62.10,   3.33E-010, 
 62.20,   2.08E-010, 
 62.30,   1.06E-010, 
 62.40,   1.89E-010, 
 62.50,   2.67E-010, 
 62.60,   3.00E-010, 
 62.70,   2.75E-010, 
 62.80,   2.35E-010, 
 62.90,   1.95E-010, 
 63.00,   2.16E-010, 
 63.10,   2.62E-010, 
 63.20,   4.11E-010, 
 63.30,   4.23E-010, 
 63.40,   3.92E-010, 
 63.50,   4.18E-010, 
 63.60,   3.08E-010, 
 63.70,   3.26E-010, 
 63.80,   3.65E-010, 
 63.90,   4.08E-010, 
 64.00,   4.02E-010, 
 64.10,   5.39E-010, 
 64.20,   4.31E-010, 
 64.30,   4.20E-010, 
 64.40,   5.90E-010, 
 64.50,   6.51E-010, 
 64.60,   5.89E-010, 
 64.70,   5.67E-010, 
 64.80,   6.68E-010, 
 64.90,   9.08E-010, 
 65.00,   1.54E-009, 
