Feb 03, 2020  02:22:56 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.43E-004 
Filament Current, 1.00, mAmps


 60.90,  -8.05E-011, 
 61.00,  -9.59E-011, 
 61.10,  -3.36E-011, 
 61.20,   1.89E-011, 
 61.30,   7.63E-011, 
 61.40,   1.61E-010, 
 61.50,   1.42E-010, 
 61.60,   6.86E-011, 
 61.70,   5.74E-011, 
 61.80,   4.76E-011, 
 61.90,  -4.76E-011, 
 62.00,  -1.23E-010, 
 62.10,  -1.02E-010, 
 62.20,  -1.48E-010, 
 62.30,  -6.72E-011, 
 62.40,   6.79E-011, 
 62.50,   2.17E-011, 
 62.60,   7.49E-011, 
 62.70,   5.25E-011, 
 62.80,   1.49E-010, 
 62.90,   1.55E-010, 
 63.00,   3.57E-011, 
 63.10,   1.26E-011, 
 63.20,   2.10E-011, 
 63.30,   1.82E-011, 
 63.40,   7.98E-011, 
 63.50,   1.12E-011, 
 63.60,  -2.24E-011, 
 63.70,  -9.80E-011, 
 63.80,  -7.21E-011, 
 63.90,  -8.12E-011, 
 64.00,  -3.50E-012, 
 64.10,  -5.60E-012, 
 64.20,  -1.06E-010, 
 64.30,  -1.47E-011, 
 64.40,  -3.50E-012, 
 64.50,  -3.36E-011, 
 64.60,  -2.31E-011, 
 64.70,  -5.53E-011, 
 64.80,  -7.56E-011, 
 64.90,  -2.66E-011, 
 65.00,   4.76E-011, 
